Código;Descrição;U.M;Valor custo R$;"Valor 
venda R$";Lucro R$;lucro %;Saldo estoque;"Custo estoque
Atual R$";Fornecedor;Cód Forn.
PRO0279;P. CAB. CILINDRICA SX INT. M2.5-0.45 X 10MA LG 12.9;PÇ;1;0,87;-0,13;-13,00%;111;111;;
PRO0280;Porca Rebite De Rosca M4 Sextavada Aço Bicromatizado;PÇ;1;0,38;-0,62;-62,00%;3.000,00;3000;;
PRO0281;PARAFUSO ALLEN ABAULADO M2X10X0,40 MA - INOX;PÇ;1;0,66;-0,34;-34,00%;100.000,00;100000;;
PRO0282;P. S/C SEXT INT. P. PL M3-0.50 X 3MA INOX A2;PÇ;1;0,85;-0,15;-15,00%;10.000,00;10000;;
PRO0283;P. RM PAN. C/ PH. M1.4-0.30 X 4 INOX A2;PÇ;1;1,19;0,19;19,00%;1.111,00;1111;;
PRO0284;P. RM CH C/ PH. M1.6-0.35 X 10MA INOX A2;PÇ;1;0,82;-0,18;-18,00%;1.111,00;1111;;
PRO0285;INSERTO METÁLICO M2.5x3x3.5;PÇ;1;0,78;-0,22;-22,00%;3.300,00;3300;;
PRO0286;INSERTO METÁLICO M2x3x3;PÇ;1;0,83;-0,17;-17,00%;11.111,00;11111;;
PRO0287;P. CAB. CHATA TORX M3-0.50MA X 10 INOX A2;PÇ;1;0,68;-0,32;-32,00%;2.000,00;2000;;
PRO0288;P. CAB. CHATA TORX M2.5-0.45MA X 6 INOX A2;PÇ;1;0,62;-0,38;-38,00%;40.000,00;40000;;
PRO0289;INSERTO METÁLICO M3x4x4;PÇ;1;0,62;-0,38;-38,00%;1.600,00;1600;;
PRO0290;PA. CAB. PANELA PHILLIPS M4X10 NYLON PA66- PRETO;PÇ;1;0,68;-0,32;-32,00%;1.000,00;1000;;
PRO0291;ESPAÇADOR MACHO/FÊMEA M3X15 NYLON PRETO;PÇ;1;0,62;-0,38;-38,00%;1.000,00;1000;;
PRO0292;PA. CA. PANELA PHILLIPS M4X20 NYLON PA66- BRANCO;PÇ;1;0,87;-0,13;-13,00%;111;111;;
PRO0293;ARRUELA LISA M6 - NYLON PA66 PRETO;PÇ;1;0,38;-0,62;-62,00%;1.000,00;1000;;
PRO0294;AR. LISA M10 INOX A2;PÇ;1;0,48;-0,52;-52,00%;9.950,00;9950;;
PRO0295;P. CAB. CHATA SX INT. M6-1.00 X 35 INOX A2;PÇ;1;1,1;0,1;10,00%;100;100;;
PRO0296;POR. TRAVANTE M6-1.00MA INOX A2;PÇ;1;0,39;-0,61;-61,00%;1.111,00;1111;;
PRO0297;ESPAÇADOR M/F M2x20 NYLON PA66 PRETO;PÇ;1;0,76;-0,24;-24,00%;1.000,00;1000;;
PRO0298;teste 1;PÇ;1;1;0;0,00%;1;1;;
PRO0299;PORCA REBITE M4 ABA FINA INOX A2;PÇ;1;1,55;0,55;55,00%;1;1;;
PRO0300;teste 3;PÇ;3;3;0;0,00%;3;9;;
PRO0301;teste4;PÇ;4;4;0;0,00%;4;16;;
PRO0302;teste5;PÇ;5;5;0;0,00%;5;25;;
PRO0303;teste 6;PÇ;6;6;0;0,00%;6;36;;
PRO0304;teste 7;PÇ;7;7;0;0,00%;7;49;;
PRO0305;teste 8;PÇ;8;8;0;0,00%;8;64;;
PRO0306;teste 9;PÇ;9;9;0;0,00%;9;81;;
PRO0307;teste 10;PÇ;1;1;0;0,00%;1;1;;
PRO0308;teste 11;PÇ;1;1;0;0,00%;1;1;;
PRO0309;P. CAB. ABAULADA SX INT. M3-0.50 X 10 LG12.9-CO Titânio D;PÇ;1;1,38;0,38;38,00%;1;1;;
PRO0310;P S/C SEXT. INT P. CV M4-0.70 X 25MA INOX A2;PÇ;1;4,07;3,07;307,00%;111;111;;
PRO0311;P S/C SEXT. INT P. CV M4-0.70 X 16MA INOX A2;PÇ;1;0,78;-0,22;-22,00%;1.111,00;1111;;
PRO0312;ESPAÇADOR MACHO/FÊMEA M3x15x6 NYLON PRETO;PÇ;1;0,63;-0,37;-37,00%;1.000,00;1000;;
PRO0313;P. CAB. ABAULADA SX INT. M3-0.50 X 6 LG 12.9;PÇ;1;0,32;-0,68;-68,00%;1.111,00;1111;;
PRO0314;P. CAB. ABAULADA SX INT. M3-0.50 X 10 LG 12.9;PÇ;1;0,36;-0,64;-64,00%;1.111,00;1111;;
PRO0315;P. CAB. ABAULADA SX INT. M3-0.50 X 16 LG 12.;PÇ;1;0,44;-0,56;-56,00%;111;111;;
PRO0316;P. CAB. ABAULADA SX INT. M3-0.50 X 20 LG 12.9;PÇ;1;0,97;-0,03;-3,00%;11.111,00;11111;;
PRO0317;P. CAB. ABAULADA SX INT. M5-0.80 X 8 LG 12.9;PÇ;1;0,33;-0,67;-67,00%;111;111;;
PRO0318;P. CAB. ABAULADA SX INT. M5-0.80 X 10 LG 12.9;PÇ;1;0,45;-0,55;-55,00%;1.111,00;1111;;
PRO0319;P. CAB. ABAULADA SX INT. M5-0.80 X 12 LG 12.9;PÇ;1;0,48;-0,52;-52,00%;11.111,00;11111;;
PRO0320;P. CAB. CHATA SX INT. M3-0.50 X 12MA LG 12.9;PÇ;1;0,48;-0,52;-52,00%;1.111,00;1111;;
PRO0321;P. CAB. CHATA SX INT. M5-0.80 X 10 MA LG 12.9;PÇ;1;0,45;-0,55;-55,00%;1.111,00;1111;;
PRO0322;P. CAB. CILINDRICA SX INT. M3-0.50 X 40MA LG 12.9;PÇ;1;1,1;0,1;10,00%;111;111;;
PRO0323;P. CAB. CILINDRICA SX INT. M6-1.00 X 60MA LG 12.9;PÇ;1;1,7;0,7;70,00%;1.111,00;1111;;
PRO0324;P. CAB. PAN. PH. M2-0.40 x 5 MA- Nylon PA66 PTO;PÇ;1;0,48;-0,52;-52,00%;1.111,00;1111;;
PRO0325;CORREIOS-PAC- 8/9 DIAS ÚTEIS;PÇ;1;32,4;31,4;3140,00%;111;111;;
PRO0326;MACHO DE ROSCA M1.6x0.35mm UNITARIO MANUAL HSS;PÇ;1;33,8;32,8;3280,00%;111;111;;
PRO0327;MACHO DE ROSCA M1.5x0.35mm UNITARIO MANUAL HSS;PÇ;1;33,8;32,8;3280,00%;1.111,00;1111;;
PRO0328;MACHO DE ROSCA M1.2x0.25mm UNITARIO MANUAL HSS;PÇ;1;33,8;32,8;3280,00%;111;111;;
PRO0329;MACHO DE ROSCA M1.4x0.3mm UNITARIO MANUAL HSS;PÇ;1;33,8;32,8;3280,00%;111;111;;
PRO0330;MACHO DE ROSCA M1.7x0.35mm UNITARIO MANUAL HSS;PÇ;1;33,8;32,8;3280,00%;111;111;;
PRO0331;P. CAB. ABAULADA SX INT. M3-0.50 X 30 INOX A2;PÇ;1;2,29;1,29;129,00%;1.111,00;1111;;
PRO0332;P. CAB. CHATA SX INT. M2-0.40 X 8 INOX A2;PÇ;1;0,78;-0,22;-22,00%;1.111,00;1111;;
PRO0333;P. CAB. CHATA SX INT. M2.5-0.45 X 10 INOX A2;PÇ;1;0,93;-0,07;-7,00%;111;111;;
PRO0334;P. CAB. CHATA SX INT. M2-0.40 X 16 INOX A2;PÇ;1;0,85;-0,15;-15,00%;111;111;;
PRO0335;P. CAB. CHATA SX INT. M2-0.40 X 6 INOX A2;PÇ;1;0,85;-0,15;-15,00%;111;111;;
PRO0336;P. CAB. CILINDRICA SX INT. M2.5-0.45MA X 5 INOX A2;UN;1;0,83;-0,17;-17,00%;1.111,00;1111;;
PRO0337;P. CAB. CILINDRICA SX INT. M2-0.40MA X 12 INOX A2;PÇ;1;0,87;-0,13;-13,00%;111;111;;
PRO0338;P. CAB. CILINDRICA SX INT. M2-0.40MA X 16 INOX A2;PÇ;1;0,97;-0,03;-3,00%;111;111;;
PRO0339;P. CAB. CILINDRICA SX INT. M2-0.40MA X 20 INOX A2;PÇ;1;0,98;-0,02;-2,00%;111;111;;
PRO0340;POR. TRAVANTE M2-0.40MA INOX A2;PÇ;1;0,93;-0,07;-7,00%;33;33;;
PRO0341;POR. TRAVANTE M2.5-0.45MA INOX A2;PÇ;1;0,89;-0,11;-11,00%;111;111;;
PRO0342;P. CAB. CILINDRICA SX INT. M2.5-0.45MA X 20 INOX A2;PÇ;1;2,1;1,1;110,00%;111;111;;
PRO0343;P. CAB. CILINDRICA SX INT. M2.5-0.45MA X 8 INOX A2;PÇ;1;0,87;-0,13;-13,00%;111;111;;
PRO0344;"P. CAB. CHATA SX INT. M2.5-0.45 X 20 INOX A2		";PÇ;1;0,85;-0,15;-15,00%;111;111;;
PRO0345;P. CH C/ PH. M2.5-0.45 X 10 MA NYLON PA66 PRETO;PÇ;1;1,48;0,48;48,00%;1.111,00;1111;;
PRO0346;POR. SEXT. M2.5-0.45MA NYLON PA66 PRETO;PÇ;1;0,58;-0,42;-42,00%;1.111,00;1111;;
PRO0347;POR. SEXT. M3-0.50MA NYLON PA66 PRETO;PÇ;1;0,32;-0,68;-68,00%;1.111.999,00;1111999;;
PRO0348;P. PAN. C/ PH. M3-0.50 X 6 NYLON PA66 PRETO;PÇ;1;0,58;-0,42;-42,00%;1.111,00;1111;;
PRO0349;ESPAÇADOR M/F M3X6X6 NYLON PA66 PRETO;PÇ;1;0,74;-0,26;-26,00%;1.111,00;1111;;
PRO0350;ESPAÇADOR M/F M2.5X6X6 NYLON PA66 PRETO;PÇ;1;0,74;-0,26;-26,00%;1.111,00;1111;;
PRO0351;ESPAÇADOR FÊMEA/FÊMEA M3X6 NYLON PRETO;PÇ;1;0,57;-0,43;-43,00%;1.111,00;1111;;
PRO0352;PORCA REBITE M3 ABA FINA AÇO ZINCADO;PÇ;1;0,6;-0,4;-40,00%;500;500;;
PRO0353;P. CAB. CILINDRICA SX INT. M3-0.50MA X 25 INOX A2;PÇ;1;0,96;-0,04;-4,00%;111;111;;
PRO0354;P. CAB. CILINDRICA SX INT. M4-0.70MA X 10 INOX A2;PÇ;1;0,33;-0,67;-67,00%;1.111,00;1111;;
PRO0355;P. CAB. CILINDRICA SX INT. M4-0.70MA X 20 INOX A2;PÇ;1;0,35;-0,65;-65,00%;111;111;;
PRO0356;P. CAB. CILINDRICA SX INT. M4-0.70MA X 40 INOX A2;PÇ;1;0,79;-0,21;-21,00%;1.111,00;1111;;
PRO0357;P. CAB. CILINDRICA SX INT. M5-0.80MA X 8 INOX A2;PÇ;1;0,78;-0,22;-22,00%;11.111,00;11111;;
PRO0358;P. CAB. CILINDRICA SX INT. M6-1.00MA X 25 INOX A2;PÇ;1;0,97;-0,03;-3,00%;111;111;;
PRO0359;P. CAB. CILINDRICA SX INT. M6-1.00MA X 35 INOX A2;PÇ;1;1,2;0,2;20,00%;111;111;;
PRO0360;P. CAB. CILINDRICA SX INT. M6-1.00MA X 60 INOX A2;PÇ;1;2,1;1,1;110,00%;111;111;;
PRO0361;P. CAB. CILINDRICA SX INT. M8-1.25MA X 16 INOX A2;PÇ;1;1,6;0,6;60,00%;111;111;;
PRO0362;P. CAB. CILINDRICA SX INT. M8-1.25MA X 25 INOX A2;PÇ;1;1,89;0,89;89,00%;111;111;;
PRO0363;P. CAB. CILINDRICA SX INT. M8-1.25MA X 30 INOX A2;PÇ;1;2;1;100,00%;91;91;;
PRO0364;P. CAB. CILINDRICA SX INT. M8-1.25MA X 60 INOX A2;PÇ;1;3,17;2,17;217,00%;111;111;;
PRO0365;POR. TRAVANTE M3-0.50MA INOX A2;PÇ;1;0,29;-0,71;-71,00%;110.421,00;110421;;
PRO0366;POR. TRAVANTE M4-0.70MA INOX A2;PÇ;1;0,24;-0,76;-76,00%;111;111;;
PRO0367;POR. TRAVANTE M5-0.80MA INOX A2;PÇ;1;0,3;-0,7;-70,00%;111;111;;
PRO0368;POR. TRAVANTE M8-1.25MA INOX A2;PÇ;1;0,77;-0,23;-23,00%;111;111;;
PRO0369;P. CAB. CILINDRICA SX INT. M4-0.70MA X 8 INOX A2;PÇ;1;0,34;-0,66;-66,00%;1.111,00;1111;;
PRO0370;AR. LISA M8 INOX A2;PÇ;1;0,25;-0,75;-75,00%;1.061,00;1061;;
PRO0371;P. CAB. ABAULADA SX INT. M4-0.70 X 8 INOX A2;PÇ;1;0,28;-0,72;-72,00%;199.501,00;199501;;
PRO0372;P. CAB. CILINDRICA SX INT. M5-0.80MA X 10 INOX A2;PÇ;1;0,44;-0,56;-56,00%;111;111;;
PRO0373;P. RM PAN. C/ PH. M1.4-0.35 X 6 INOX A2;PÇ;1;1,19;0,19;19,00%;33.333,00;33333;;
PRO0374;POR. SEXT. M1.4 - 0.35 INOX A2;PÇ;1;0,38;-0,62;-62,00%;222;222;;
PRO0375;Espaçador Nylon Branco M3x6x7 Sem Rosca ;PÇ;1;0,58;-0,42;-42,00%;1.000,00;1000;;
PRO0376;FRETE SEDEX 1/2 DIAS ÚTEIS;PÇ;1;15;14;1400,00%;111;111;;
PRO0377;PARAFUSO M3X20 C. PANELA PHILLIPS NYLON PA66 BRANCO;PÇ;1;0,48;-0,52;-52,00%;111;111;;
PRO0378;PARAFUSO M3X30 C/ PANELA PHILLIPS NYLON PA66 PRETO;PÇ;1;1,78;0,78;78,00%;111;111;;
PRO0379;PARAFUSO M4X20 C/ PANELA PHILLIPS NYLON PA66 PRETO;PÇ;1;1,54;0,54;54,00%;1.111,00;1111;;
PRO0380;PARAFUSO M6X20 C/ PANELA PHILLIPS NYLON PA66 BRANCO;PÇ;1;2,87;1,87;187,00%;1.111,00;1111;;
PRO0381;PARAFUSO M6X40 C/ PANELA PHILLIPS NYLON PA66 BRANCO;PÇ;1;4,98;3,98;398,00%;11.111,00;11111;;
PRO0382;PARAFUSO M4X40 C/ PANELA PHILLIPS NYLON PA66 BRANCO;PÇ;2,2;2,2;0;0,00%;1.000,00;2200;;
PRO0383;P. SEXT. RI M6-1.00MA X 50 INOX A2;PÇ;1;1,48;0,48;48,00%;1.111,00;1111;;
PRO0384;P. SEXT. RI M6-1.00MA X 30 INOX A2;PÇ;1;1,05;0,05;5,00%;111;111;;
PRO0385;P. SEXT. RI M5-0.80MA X 25 INOX A2;PÇ;1;0,73;-0,27;-27,00%;111;111;;
PRO0386;P. RM CH C/ PH. M6-1.00 X 30MA INOX A2;PÇ;1;1,07;0,07;7,00%;111;111;;
PRO0387;P. RM PAN. C/ PH. M5-0.80 X 40 INOX A2;PÇ;1;1,23;0,23;23,00%;1.111,00;1111;;
PRO0388;P. RM PAN. C/ PH. M5-0.80 X 30 INOX A2;PÇ;1;1,09;0,09;9,00%;111;111;;
PRO0389;PARAFUSO  M4X10 PANELA PHILLIPS NYLON PA-66 PRETO;PÇ;1;0,48;-0,52;-52,00%;5.000,00;5000;;
PRO0390;PARAFUSO NYLON M5X15 PANELA PHIILIPS NYLON PA66 BRANCO;PÇ;1;2,18;1,18;118,00%;1.000,00;1000;;
PRO0391;PARAFUSO NYLON M5X15 PANELA PHIILIPS NYLON PA66 PRETO;PÇ;1;2,18;1,18;118,00%;10;10;;
PRO0392;P. SEXT. M6-1.00MA X 50 NYLON PA66 PRETO;PÇ;1;6,18;5,18;518,00%;100;100;;
PRO0393;POR. SEXT. M6-1.00MA NYLON PA66 PRETO;PÇ;1;1,18;0,18;18,00%;1.000,00;1000;;
PRO0394;INSERTO METÁLICO M4x8x5;PÇ;1;0,85;-0,15;-15,00%;10.000,00;10000;;
PRO0395;INSERTO METÁLICO M5x10x7;PÇ;1;1,37;0,37;37,00%;1.000,00;1000;;
PRO0396;P. CAB. ABAULADA SX INT. M3-0.50 X 10 INOX A2;PÇ;1;0,97;-0,03;-3,00%;1.111,00;1111;;
PRO0397;P. CAB. ABAULADA SX INT. M3-0.50 X 12 INOX A2;PÇ;1;0,96;-0,04;-4,00%;1.111,00;1111;;
PRO0398;P. CAB. ABAULADA SX INT. M3-0.50 X 16 INOX A2;PÇ;1;0,62;-0,38;-38,00%;111;111;;
PRO0399;P. CAB. ABAULADA SX INT. M3-0.50 X 20 INOX A2;PÇ;1;0,99;-0,01;-1,00%;11.111,00;11111;;
PRO0400;POR. SEXT.ESQUERDA M14-2.00MA INOX A2 ;PÇ;1;19;18;1800,00%;1;1;;
PRO0401;P. CAB. CHATA SX INT. M3-0.50 X 10 INOX A2;PÇ;1;0,2;-0,8;-80,00%;1.111,00;1111;;
PRO0402;P. CAB. CHATA SX INT. M3-0.50 X 20 INOX A2;PÇ;1;1,2;0,2;20,00%;11;11;;
PRO0403;ARRUELA DE NYLON M4 PA66 PRETA;PÇ;1;0,39;-0,61;-61,00%;111;111;;
PRO0404;ARRUELA DE NYLON M5 PA66 PRETA;PÇ;1;0,42;-0,58;-58,00%;111;111;;
PRO0405;ARRUELA DE NYLON M6 PA66 PRETA;PÇ;1;0,48;-0,52;-52,00%;111;111;;
PRO0406;P. CAB. ABAULADA SX INT. M3-0.50 X 25 INOX A2;PÇ;1;1,95;0,95;95,00%;111;111;;
PRO0407;COSSINETE M2.5X0.45mm  ;PÇ;1;36,8;35,8;3580,00%;2;2;;
PRO0408;COSSINETE M1.6X0.35mm  ;PÇ;1;36,4;35,4;3540,00%;10;10;;
PRO0409;Kit 50 Inserto Metalico M4x6;PÇ;1;39;38;3800,00%;111;111;;
PRO0410;P. CAB. ABAULADA SX INT. M2-0.40 X 12 INOX A2;PÇ;1;0,89;-0,11;-11,00%;11.111,00;11111;;
PRO0411;P. CAB.CHATA TORX M2.5-0.45MA X 6 INOX A2;PÇ;0,85;0,85;0;0,00%;1.000,00;850;;
PRO0412;MACHO MANUAL UNITÁRIO DIREITO M2x0,40mm HSS;PÇ;1;30;29;2900,00%;111;111;;
PRO0413;Macho Máquina M2x0,4 Hss-e1616 Tin - Yamawa Japan;PÇ;1;32;31;3100,00%;111;111;;
PRO0414;"MACHO MANUAL UNITÁRIO DIREITO M1.4x0,30mm HSS		";PÇ;1;30;29;2900,00%;111;111;;
PRO0415;POR. SEXT.ESQUERDA M6-1.00MA INOX A2;PÇ;1;4,05;3,05;305,00%;50;50;;
PRO0416;POR. SEXT. ESQUERDA M8-1.25MA INOX A2;PÇ;1;9,7;8,7;870,00%;50;50;;
PRO0417;POR. SEXT. ESQUERDA M10-1.50MA INOX A2;PÇ;1;17,5;16,5;1650,00%;4;4;;
PRO0418;PARAFUSO TORX M1.6X10 CABEÇA CHATA INOX;PÇ;1;0,68;-0,32;-32,00%;11.111,00;11111;;
PRO0419;P. CAB. CHATA TORX M2.5-0.45MA X 16 INOX A2;PÇ;1;1,32;0,32;32,00%;11.111,00;11111;;
PRO0420;"PARAFUSO M3X10 C. PANELA PHILLIPS NYLON PA66 PRETO		";PÇ;1;0,36;-0,64;-64,00%;20.000,00;20000;;
PRO0421;ARRUELA NYLON M12;PÇ;2,8;2,8;0;0,00%;1.000,00;2800;;
PRO0422;P. CAB. CILINDRICA SX INT. M3-0.50MA X 50 INOX A2;PÇ;1;2,97;1,97;197,00%;1.111,00;1111;;
PRO0423;Espaçador Nylon Branco M3x15x7 Sem Rosca;PÇ;1;0,68;-0,32;-32,00%;162;162;;
PRO0424;P. RM PAN. C/ PH. M1-0.25 X 6 INOX A2;PÇ;1;0,98;-0,02;-2,00%;950;950;;
PRO0425;P. CAB. CILINDRICA SX INT. M3-0.50MA X 30 INOX A2;PÇ;1;1,36;0,36;36,00%;1.111,00;1111;;
PRO0426;INSERTO METÁLICO M3x6x4;PÇ;1;0,68;-0,32;-32,00%;11.111,00;11111;;
PRO0427;P. CAB. CILINDRICA SX INT. M1.4-0.3 X 5 INOX A2;PÇ;1;1,28;0,28;28,00%;1.000,00;1000;;
PRO0428;P. CAB. CILINDRICA SX INT. M1.4-0.3 X 10 INOX A2;PÇ;1;1,28;0,28;28,00%;1.111,00;1111;;
PRO0429;P. CAB. CHATA TORX M1.4-0.3 X 10 INOX A2;PÇ;1;1,28;0,28;28,00%;1.111,00;1111;;
PRO0430;P. CAB. CHATA TORX M1.4-0.3 X 5 INOX A2;PÇ;1;1,28;0,28;28,00%;111;111;;
PRO0431;POR. SEXT. M1.4-0.3 INOX A2;PÇ;1;0,28;-0,72;-72,00%;111;111;;
PRO0432;P. RM PAN. C/ PH. M1.6-0.35 X 6 INOX A2;PÇ;1;1,19;0,19;19,00%;911;911;;
PRO0433;P. RM PAN. C/ PH. M3.5-0.6 X 10 INOX A2;PÇ;1;0,39;-0,61;-61,00%;12;12;;
PRO0434;P. RM PAN. C/ PH. M3.5-0.6 X 12 INOX A2;PÇ;1;0,44;-0,56;-56,00%;30;30;;
PRO0435;P. RM PAN. C/ PH. M3.5-0.6 X 16 INOX A2;PÇ;1;0,52;-0,48;-48,00%;10;10;;
PRO0436;P. RM PAN. C/ PH. M3.5-0.6 X 20 INOX A2;PÇ;1;0,59;-0,41;-41,00%;20;20;;
PRO0437;P. RM PAN. C/ PH. M3.5-0.6 X 30 INOX A2;PÇ;1;0,72;-0,28;-28,00%;20;20;;
PRO0438;MACHO M3.5-0.6mm HSS H2 - DIREITO- PARALELO UNITÁRIO;PÇ;1;25;24;2400,00%;2;2;;
